"V1"	"V2"	"Cat"
"248"	103	1009.01879138671	"incompat only"
"249"	91	912.379707084567	"incompat only"
"250"	108	1094.54328481661	"incompat only"
"251"	106	1097.62110598316	"incompat only"
"252"	110	1137.48508666579	"incompat only"
"253"	96	977.333822865514	"incompat only"
"254"	106	1106.78074399765	"incompat only"
"255"	92	955.506652648815	"incompat only"
"256"	115	1169.68269034908	"incompat only"
"257"	101	1049.42210711345	"incompat only"
"258"	111	1107.06202682501	"incompat only"
"259"	113	1128.64014753949	"incompat only"
"260"	114	1149.43896467296	"incompat only"
"261"	97	926.662798465448	"incompat only"
"262"	113	1196.48887606589	"incompat only"
"263"	107	1066.01244019185	"incompat only"
"264"	107	1075.4791603937	"incompat only"
"265"	90	887.07081404793	"incompat only"
"266"	99	1020.13853806252	"incompat only"
"267"	106	1057.05498586028	"incompat only"
"268"	108	1042.39887541928	"incompat only"
"269"	90	896.91454855707	"incompat only"
"270"	103	1034.72493257258	"incompat only"
"271"	96	927.92860156558	"incompat only"
"272"	102	1007.41058928267	"incompat only"
"273"	111	1073.34831527973	"incompat only"
"274"	106	1060.57184939448	"incompat only"
"275"	112	1126.05090422369	"incompat only"
"276"	108	1107.07852698659	"incompat only"
"277"	106	1041.81857455615	"incompat only"
"278"	114	1131.51421915892	"incompat only"
"279"	112	1121.95704038668	"incompat only"
"280"	119	1223.97318468364	"incompat only"
"281"	104	1082.29524738166	"incompat only"
"282"	105	1079.98099654652	"incompat only"
"283"	100	972.583937968721	"incompat only"
"284"	94	902.475407866631	"incompat only"
"285"	91	930.861676566606	"incompat only"
"286"	106	1091.39096128537	"incompat only"
"287"	116	1208.93712527434	"incompat only"
"288"	110	1093.32854002442	"incompat only"
"289"	88	904.609151677898	"incompat only"
"290"	104	1070.26758229151	"incompat only"
"291"	91	881.751991021198	"incompat only"
"292"	104	1056.05020483463	"incompat only"
"293"	99	1014.76111258751	"incompat only"
"294"	98	939.848954458677	"incompat only"
"295"	100	971.069984585738	"incompat only"
"296"	123	1232.04713594434	"incompat only"
"297"	97	976.419473558158	"incompat only"
"298"	93	878.391086218031	"incompat only"
"299"	96	966.897655074166	"incompat only"
"300"	101	1047.89748803974	"incompat only"
"301"	102	1023.57110948646	"incompat only"
"302"	107	1045.7517729584	"incompat only"
"303"	110	1108.69383082667	"incompat only"
"304"	113	1171.63761719293	"incompat only"
"305"	108	1078.54484150299	"incompat only"
"306"	114	1110.63478049343	"incompat only"
"307"	102	1076.05747731275	"incompat only"
"308"	114	1138.52643097671	"incompat only"
"309"	110	1102.10748511805	"incompat only"
